Wallclock,Robot,State,Duration,From,To,TotalDistance,IdleTime,TotalTime
05:03:07.219574,MSR2,Wait,5.373388207499052,m35,m35,205.5375817663677,15671.130446208028,18192.592938332862
05:03:12.592962,MSR2,Swabbing,11.910469374037065,m35,m35,205.5375817663677,15671.130446208028,18204.5034077069
05:03:24.503431,MSR2,Move,2.7896296296296326,m35,m36,206.3744706552566,15671.130446208028,18207.29303733653
05:03:27.293061,MSR2,Calibrate,10.319629185738057,m36,m36,206.3744706552566,15671.130446208028,18217.61266652227
05:03:37.612690,MSR2,Wait,7.9769620800292405,m36,m36,206.3744706552566,15679.107408288057,18225.589628602298
05:03:45.589652,MSR2,Swabbing,12.019499865128031,m36,m36,206.3744706552566,15679.107408288057,18237.609128467426
05:03:57.609152,MSR2,Move,2.7896296296296264,m36,m37,207.2113595441455,15679.107408288057,18240.398758097057
05:04:00.398782,MSR2,Calibrate,11.416158374833323,m37,m37,207.2113595441455,15679.107408288057,18251.81491647189
05:04:11.814940,MSR2,Wait,7.064901124766669,m37,m37,207.2113595441455,15686.172309412823,18258.879817596655
05:04:18.879841,MSR2,Swabbing,12.091379860624864,m37,m37,207.2113595441455,15686.172309412823,18270.97119745728
05:04:30.971221,MSR2,Move,2.7896296296296264,m37,m38,208.0482484330344,15686.172309412823,18273.76082708691
05:04:33.760851,MSR2,Calibrate,11.815727175277697,m38,m38,208.0482484330344,15686.172309412823,18285.57655426219
05:04:45.576578,MSR2,Wait,6.177039391077753,m38,m38,208.0482484330344,15692.3493488039,18291.753593653266
05:04:51.753617,MSR2,Swabbing,12.051472603722717,m38,m38,208.0482484330344,15692.3493488039,18303.805066256988
05:05:03.805090,MSR2,Park,1496.1949337430124,m38,m38,208.0482484330344,17188.544282546914,19800.0
05:15:00.000024,MSR1,Move,43.7945160956811,m18,m21,136.31292824537482,17261.377826469503,18943.79451609568
05:15:43.794540,MSR1,Calibrate,11.294981696989787,m21,m21,136.31292824537482,17261.377826469503,18955.08949779267
05:15:55.089522,MSR1,Wait,9.970491283403394,m21,m21,136.31292824537482,17271.348317752905,18965.05998907607
05:16:05.060013,MSR1,Swabbing,11.902378436615122,m21,m21,136.31292824537482,17271.348317752905,18976.962367512686
05:16:16.962391,MSR1,Move,2.7896296296296326,m21,m22,137.1498171342637,17271.348317752905,18979.751997142317
05:16:19.752021,MSR1,Calibrate,8.926075775985156,m22,m22,137.1498171342637,17271.348317752905,18988.6780729183
05:16:28.678097,MSR1,Wait,6.742695267813493,m22,m22,137.1498171342637,17278.09101302072,18995.420768186115
05:16:35.420792,MSR1,Swabbing,12.140737052356057,m22,m22,137.1498171342637,17278.09101302072,19007.56150523847
05:16:47.561529,MSR1,Move,2.7896296296296326,m22,m23,137.9867060231526,17278.09101302072,19010.351134868102
05:16:50.351159,MSR1,Calibrate,8.59308407709985,m23,m23,137.9867060231526,17278.09101302072,19018.944218945202
05:16:58.944243,MSR1,Wait,6.763247597772972,m23,m23,137.9867060231526,17284.854260618493,19025.707466542975
05:17:05.707491,MSR1,Swabbing,11.961462050245723,m23,m23,137.9867060231526,17284.854260618493,19037.668928593223
05:17:17.668953,MSR1,Move,2.7896296296296264,m23,m24,138.8235949120415,17284.854260618493,19040.458558222854
05:17:20.458583,MSR1,Calibrate,10.972206962120305,m24,m24,138.8235949120415,17284.854260618493,19051.430765184974
05:17:31.430790,MSR1,Wait,6.2110795835423405,m24,m24,138.8235949120415,17291.065340202036,19057.641844768517
05:17:37.641870,MSR1,Swabbing,12.170187172915433,m24,m24,138.8235949120415,17291.065340202036,19069.812031941434
05:17:49.812057,MSR1,Move,2.7896296296296326,m24,m25,139.6604838009304,17291.065340202036,19072.601661571065
05:17:52.601687,MSR1,Calibrate,8.086521972186908,m25,m25,139.6604838009304,17291.065340202036,19080.68818354325
05:18:00.688209,MSR1,Wait,6.386957477201577,m25,m25,139.6604838009304,17297.452297679236,19087.075141020454
05:18:07.075166,MSR1,Swabbing,11.899598196989869,m25,m25,139.6604838009304,17297.452297679236,19098.974739217443
05:18:18.974764,MSR1,Move,2.7896296296296326,m25,m26,140.4973726898193,17297.452297679236,19101.764368847074
